1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
AE							11						2		3	1					10	3				3			11	7		1	1					1				
AE,AT,EG																										4	2															
AE,CA,IR																																						4				
AE,CN																																							2			
AE,CN,EG,PK																																										1
AE,DE							2	1								2		1																								
AE,DE,IN,JO																																		4								
AE,DE,IQ				3																																						
AE,EG							24						3												18	13																
AE,EG,GB,SA																																										
AE,ES																																					4					
AE,ES,FR,US																																						1				
AE,ES,IE,US																																				6						
AE,FR,LB,US																																					4					
AE,GB																																							5	14		
AE,GB,IE																										2																
AE,GB,MR,TN																																								4		
AE,HU																																				11						
AE,IN																																					8					1
AE,IN,MA,PS																																							2			
AE,IN,PK,SA																																										6
AE,IQ																																									10	8
AE,JO									4																															7	3	
AE,PK																																					4		3	1		
AE,QA												1																														
AE,QA,US														7																												
AE,TH,US																											8															
AE,US																							1																1	1		
AF,DE																															2											
AL,IT																				7																4						
AM				7									2				6	3	26	2	13	13	4		3	12							2	5		3	8	5	4	30	17	1
AM,BE,US																																2										
AM,BR,KW,UY																																		5								
AM,CH,RU																							2																			
AM,CZ,FR,GB,RU																					9																					
AM,DE																																14	9		15			22			5	
AM,DE,KZ																																		21								
AM,GB																							3																			
AM,GB,RU																				7																			3			
AM,IN																																							1			
AM,IT,JP,RU																																										
AM,IT,PL																																								4		
AM,KR,RU,UZ																									5																	
AM,NL,RU																																17										
AM,RU				10																		23		24	8	18	8			24	4	10	12						6	6		34
AM,US																				2			8	2		10		13		37	1	29	22	29		2					3	
AR	25	6	2	6	7	14	49	28	23	7	14	14	6	2	41	49	11	19	37	50	59	70	47	66	70	75	19	122	36	71	59	116	92	103	58	75	63	32	28	43	22	33
AR,AU																						6			7																	
AR,BD																																	3									
AR,BD,DE																																			9							
AR,BE																																										
AR,BE,ES																			1												3											
AR,BR						2				1						2	2	10	2	2		25	6		3	13	5		56	18	25	9	5	2	15	6	14		8	5		
AR,BR,CA,IR																																			1							
AR,BR,CL,FR																											1															
AR,BR,CU																																							2			
AR,BR,CZ																																							1	1		
AR,BR,DE																																				6						
AR,BR,FR																								1																		
AR,BR,GB																									1				2		1											
AR,BR,JP,UY																								4																		
AR,BR,PT,UY																															5											
AR,BR,US																																		11				1				
AR,BR,US,UY																									5																	
AR,BR,UY																	1						5				1	1	1												2	
AR,BR,UY,VE																							2																			
AR,CA																		3									6	2														
AR,CH,ES,PT																						8																				
AR,CL															2	2		1		12	3	5	13	8	22	9	4	1	5		6	4		9		10	3	1			1	4
AR,CL,ES																					5									6												
AR,CL,ES,FR																												5														
AR,CL,ES,HU																													2													
AR,CL,FR																			1	3			4	3		4	2															
AR,CL,FR,PE																									7																	
AR,CL,FR,UY																3																										
AR,CL,GB																								5																		
AR,CL,IT,US																						11																				
AR,CL,MX																												1			1		1	1								
AR,CL,PE																									1																	
AR,CL,US																																									2	
AR,CL,US,UY																																								4		
AR,CN																												5														
AR,CN,SI																																						4				
AR,CO																																						4				
AR,CO,DO,DZ,GB,IR,TR																																										
AR,CO,ES																																				2						
AR,CU																														4							1					
AR,CU,MX																																								3		
AR,CZ,DE																			25	6				7				27		5												
AR,DE								12	33								2	2				2		1		18	20	10	8	1		15	4	7	7	8	13	30	5	8	4	11
AR,DE,ES																		2							6																	
AR,DE,FR												1																			1						2	2				
AR,DE,IN																																	2									
AR,DE,IT																																		5	2							
AR,DE,null																			2																							
AR,DZ,ES,GB,IR,RU																																									1	
AR,ES																1			1	1	15	1		1	8		32	17	4	12	14		13	29	8	3		1	7		13	11
AR,ES,HU																											2														1	
AR,ES,IN																																								1		
AR,ES,IR,US																																										2
AR,ES,PT																									3					2												
AR,ES,PT,UY																																	10									
AR,ES,US																1				1																						
AR,ES,VE																					4																					
AR,FR			1						1	3	2											7				5		18		3							3			5		2
AR,FR,IN																																		2								
AR,FR,PT																										7																
