1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
AE																										1																
AE,CN																																						1				
AE,EG																									2																	
AE,GB																																			8							
AE,IN																																								3		4
AE,IQ,IR																																										
AE,MY,PK,SA																																								1		
AE,PK																																								5		
AE,QA,SA																																										
AL,GR,IT																								4																		
AM												1			5		5		6																							
AM,BE,FR,NL																		8																								
AM,DE,PL,RU																										6																
AM,ES																					1																					
AM,RU				7																									6													
AR	20	21		1			1	9	1	9	1		1	19	7	1	17	2	15	7	30	35	12	16	7	5	7	18	6	16	4	3	1	3	1		4	8	18		12	10
AR,BE																																			3		1					
AR,BE,ES																																				3						
AR,BE,FR																																					5					
AR,BR																						18							3		5	16			9	4					2	
AR,BR,CL																												4														
AR,BR,CL,FR																																								1		
AR,BR,CO																																							5	4		
AR,BR,ES,FR																																				1						
AR,BR,ES,FR,PT																																						12				
AR,BR,FR																																					4					
AR,BR,IN,RU																																							5			
AR,BR,US																													1													
AR,CA,PT																																								10		
AR,CH,ES																															15				3							
AR,CH,ES,FR																																		4								
AR,CH,ES,PT																						10																				
AR,CL																		3		4		2	5			2	4		2		1	4										3
AR,CL,CO																													3													
AR,CL,FR																				8			9	5	9																	
AR,CO													4																													
AR,CO,FR,NO																																							2			
AR,DE																	3	5			6	1		1			6							1		4	5				2	3
AR,ES										4	3				3			2		6				4		4				2	6				1							
AR,ES,FR																													1	2												
AR,ES,GB																																						1				
AR,ES,JP,US																		1																								
AR,ES,NL												1																														
AR,ES,US																													5													
AR,ES,null																														5												
AR,FR													6	2			1											3	1			1		13	9	2				9		
AR,FR,GB																																									2	
AR,FR,MX																																									1	
AR,GB																								4		1																
AR,HR																																					6		9			
AR,IT																												1				1										
AR,MX								1															1	1																		
AR,NO																											1															
AR,RU																													5													
AR,SE																																	10									
AR,US								3			1	2				1																							2			
AT	8	32	6	1	22	45	30	29	41	51	14	49	32	54	43	42	27	13	12	16	4	16	18	14		11	2	2	21	37	7	3	11	42	1	21	26		26	4	14	16
AT,AU																		2																							1	
AT,AU,CH,IL																										1																
AT,BE,DE,FR,GR,PL																		7																								
AT,BG												3												1		3		4														1
AT,BG,DE,JP																								1																		
AT,BR														12																												
AT,CA		1																																								
AT,CA,CH																2																										
AT,CH							9		4	8			2	1	1		1			1			6														4			33		
AT,CH,CN,PL																														1												
AT,CH,DE											2																															
AT,CH,DE,GB,JP,KR,RU																									6																	
AT,CH,DE,UA																										9																
AT,CH,FR																									17				1													
AT,CH,PL																						1																				
AT,CN									4			1												3				1														
AT,CN,DE																1																										
AT,CN,DE,RU																						8																				
AT,CN,NL										1	7					8		6	5																							
AT,CN,TW									6																																	
AT,CU																5		5																								
AT,CZ					7									3			3	3											56													18
AT,CZ,DE,JP																											1															
AT,CZ,ES,RU,SK																												15														
AT,CZ,FR																1																										
AT,CZ,NL		4																																								
AT,CZ,PL						4																																				
AT,CZ,SE																											1															
AT,CZ,UA																																				3						
AT,DE					4					5	1	29	33	19	11	10		6	11				4	1	13	8	7	18	4	4	1	13	9		18	15	4	21	25	41		
AT,DE,ES																																					3					
AT,DE,FR							1	6		5										11	2			2		1		3			13											
AT,DE,FR,GR,IT																				32																						
AT,DE,FR,IE,NL																				10																						
AT,DE,FR,JP																		2																								
AT,DE,GB																	4				3																				6	
AT,DE,GB,JP																				6																						
AT,DE,HU																																			8							
AT,DE,IL,NL							1																																			
AT,DE,IT,PL																						3																				
AT,DE,JP																									5																	
AT,DE,MD																													1													
AT,DE,RU																1											1	1			3											
AT,DE,SI																					2																					
AT,DE,UA														15																						22			1			
AT,DE,US																														9							10					
AT,DK																						1																				
AT,EG																			3		9						2		6													
AT,EG,SA																																		1								
AT,ES										8									2																		1				6	6
AT,ES,FR																											2															
AT,ES,MX																																			4							
AT,ES,RO																	5																									
AT,ES,US																																								7		5
AT,FR					5		6	12	19	27	2	7	2		1	45	10	14		9	8	7	35	5	4	27	2								5	10	4			14		
AT,FR,GB										3															7																	
AT,FR,GB,JP										2																																
AT,FR,GR,IT																16																										
AT,FR,IL								2										6																								
AT,FR,IT																			5		7		5																			
AT,FR,IT,PL																								13																		
AT,FR,JP															1								2																			
AT,FR,JP,RU																										1																
AT,FR,MD,PL																								6																		
AT,FR,PL																		7				2		4							6											
AT,FR,PL,UA																						7																				
AT,FR,PT,UA																													6													
AT,FR,RS,SK																																			7							
AT,FR,RU																									3																	
AT,FR,RU,UA																								4																		
AT,FR,UA														39				2										13														
AT,FR,US																																			5							
AT,GB								1							9		12	13	6					2							6							4				
AT,GB,IN													1																													
AT,GB,PL																		18	1																							
AT,GR																						1		4																		
AT,GR,NL																																						6				
AT,HR										11																														4		
AT,HU					4														3											1			3		8							
AT,IE												10		6		17																										
AT,IL								1					2																													
AT,IN												3																						1			2				1	
AT,IN,QA,US																																			4							
AT,IR																									1																	13
AT,IR,US																															2											
AT,IT																1		14			3			5		2			16												2	
AT,IT,JP																								3																		
AT,IT,NO,RO																									4																	
AT,IT,PL																					17																					
AT,IT,PT																							4	2																		
AT,IT,PT,UA																								4																		
AT,JP								1				3				3	8				2	5	3														2	2		1		
AT,JP,RU													1														2							7				2				
AT,JP,RU,UA																																18										
AT,JP,RU,US																						4																				
AT,JP,SE																								4																		
AT,JP,UA																																	24	9								
AT,KR																			5																							
AT,LV																		2																								
AT,NL							5								3																											
AT,NL,PL																3																										
AT,PL					1										1					1	4					1				13	5											
AT,PL,RU																															1					1		1				
AT,PT																							8																			
AT,RO									3										2	2							15															
AT,RU			3										8			2	4	6	6		1			1	2			35	60	76			1							3		
AT,RU,UA																		5			7																	4				
AT,SK																						20																				
AT,SK,UA																														1												
AT,TW									5	2																																
AT,UA															59					8				17			3	6	13	3	8			4	1	20	4					
AT,US	12		27	34	5					14		1																					1				9			2		
AT,VN															3																											
AU	2	8	2	8	4	3	17	21	5	7	29	26	46	16	28	34	22	83	65	71	46	131	45	65	117	92	56	30	70	155	72	85	83	147	74	127	70	97	100	134	67	126
AU,BE																																			7			3				
AU,BE,GB																																	1	9				1	10			
AU,BR																																							5			
AU,BR,DE,IN,US																		1																								
AU,BR,IT																																								1		
AU,CA					1																1											3										
AU,CA,CN																														1												
AU,CA,DE,JO																																										
AU,CA,FR,US																																				2						
AU,CA,IT																																		2	19			10				
AU,CA,NZ								6																																		
AU,CH											3																3									7				3		
AU,CH,CN,DE,FR																																					6					
AU,CH,DE																													5													
AU,CH,DK																																		3								
AU,CN								2	1			2		5	14	2	6	2	61	48	1	7	40	29	2	11	7	9	28	30	22	11	5	31	17	16	47	29	26	3	33	19
AU,CN,DE																					20																		4			
AU,CN,DE,SG,TW																																									1	
AU,CN,DE,SK																																								1		
AU,CN,DK,FR																																						1				
AU,CN,DK,IR																																						1				
AU,CN,FR																													6										8			
AU,CN,FR,US																																									9	
AU,CN,GB																																					4					
AU,CN,GB,NL																																								1		
AU,CN,JP																									2							1	1									
AU,CN,MY																																								1		
AU,CN,NL																	2																									
AU,CN,NZ																																			1							
AU,CN,RU																																								20		
AU,CN,TW																																							2			1
AU,CZ							9																															4	2	2		
AU,CZ,IT																										1																
AU,CZ,IT,NL,PT,US																								2																		
AU,DE									4				5	1		27	5		11	9	13	5	13	6		2	24	25	6	4		5	1	18	24	22	14	7		4		15
AU,DE,DK,IN,US																																	3									
AU,DE,EG,GB,GR,US																																										2
AU,DE,FR																															11						32					2
