"","CollabGroup","Year","Value","source","iso3c","iso2c","TotalValue","Percentage"
"1","United Arab Emirates",1987,11,"absolute_counting_colabs_metalOrganic","ARE","AE",743929,0.00147863573002262
"2","United Arab Emirates",1993,2,"absolute_counting_colabs_metalOrganic","ARE","AE",868981,0.000230154629387754
"3","United Arab Emirates",1995,3,"absolute_counting_colabs_metalOrganic","ARE","AE",931356,0.00032211098656153
"4","United Arab Emirates",1996,1,"absolute_counting_colabs_metalOrganic","ARE","AE",1152504,8.67675947328599e-05
"5","United Arab Emirates",2001,10,"absolute_counting_colabs_metalOrganic","ARE","AE",1343056,0.000744570591248615
"6","United Arab Emirates",2002,3,"absolute_counting_colabs_metalOrganic","ARE","AE",1400151,0.000214262604533368
"7","United Arab Emirates",2006,3,"absolute_counting_colabs_metalOrganic","ARE","AE",1660401,0.000180679245555742
"8","United Arab Emirates",2009,11,"absolute_counting_colabs_metalOrganic","ARE","AE",1947736,0.000564758262926803
"9","United Arab Emirates",2010,7,"absolute_counting_colabs_metalOrganic","ARE","AE",2186977,0.000320076525724779
"10","United Arab Emirates",2012,1,"absolute_counting_colabs_metalOrganic","ARE","AE",2340287,4.2729801943095e-05
"11","United Arab Emirates",2013,1,"absolute_counting_colabs_metalOrganic","ARE","AE",2550387,3.92097356205156e-05
"12","United Arab Emirates",2018,1,"absolute_counting_colabs_metalOrganic","ARE","AE",2750178,3.63612827969681e-05
"13","Austria-Egypt-United Arab Emirates",2006,4,"absolute_counting_colabs_metalOrganic","AUT-EGY-ARE",NA,1660401,0.00024090566074099
"14","Austria-Egypt-United Arab Emirates",2007,2,"absolute_counting_colabs_metalOrganic","AUT-EGY-ARE",NA,1695677,0.000117946991083797
"15","Canada-Iran-United Arab Emirates",2018,4,"absolute_counting_colabs_metalOrganic","CAN-IRN-ARE",NA,2750178,0.000145445131187872
"16","China-United Arab Emirates",2019,2,"absolute_counting_colabs_metalOrganic","CHN-ARE",NA,2861304,6.98982002611397e-05
"17","China-Egypt-Pakistan-United Arab Emirates",2022,1,"absolute_counting_colabs_metalOrganic","CHN-EGY-PAK-ARE",NA,2960168,3.37818664346078e-05
"18","Germany-United Arab Emirates",1987,2,"absolute_counting_colabs_metalOrganic","DEU-ARE",NA,743929,0.000268842860004113
"19","Germany-United Arab Emirates",1988,1,"absolute_counting_colabs_metalOrganic","DEU-ARE",NA,793726,0.000125988061371304
"20","Germany-United Arab Emirates",1996,2,"absolute_counting_colabs_metalOrganic","DEU-ARE",NA,1152504,0.00017353518946572
"21","Germany-United Arab Emirates",1998,1,"absolute_counting_colabs_metalOrganic","DEU-ARE",NA,1224109,8.16920715393809e-05
"22","Germany-India-Jordan-United Arab Emirates",2014,4,"absolute_counting_colabs_metalOrganic","DEU-IND-JOR-ARE",NA,2599287,0.000153888354768058
"23","Germany-Iraq-United Arab Emirates",1984,3,"absolute_counting_colabs_metalOrganic","DEU-IRQ-ARE",NA,671670,0.000446647907454554
"24","Egypt-United Arab Emirates",1987,24,"absolute_counting_colabs_metalOrganic","EGY-ARE",NA,743929,0.00322611432004936
"25","Egypt-United Arab Emirates",1993,3,"absolute_counting_colabs_metalOrganic","EGY-ARE",NA,868981,0.000345231944081631
"26","Egypt-United Arab Emirates",2005,18,"absolute_counting_colabs_metalOrganic","EGY-ARE",NA,1597342,0.00112687201613681
"27","Egypt-United Arab Emirates",2006,13,"absolute_counting_colabs_metalOrganic","EGY-ARE",NA,1660401,0.000782943397408216
"28","Spain-United Arab Emirates",2017,4,"absolute_counting_colabs_metalOrganic","ESP-ARE",NA,2722142,0.000146943105833568
"29","France-Spain-United Arab Emirates-United States",2018,1,"absolute_counting_colabs_metalOrganic","FRA-ESP-ARE-USA",NA,2750178,3.63612827969681e-05
