Country,year,value,source,iso3c
United Arab Emirates,1987,11,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,1993,2,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,1995,3,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,1996,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,2001,10,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,2002,3,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,2006,3,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,2009,11,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,2010,7,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,2012,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,2013,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates,2018,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Austria-Egypt,2006,4,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Austria-Egypt,2007,2,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Canada-Iran,2018,4,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-China,2019,2,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-China-Egypt-Pakistan,2022,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Germany,1987,2,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Germany,1988,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Germany,1996,2,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Germany,1998,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Germany-India-Jordan,2014,4,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Germany-Iraq,1984,3,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Egypt,1987,24,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Egypt,1993,3,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Egypt,2005,18,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Egypt,2006,13,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Spain,2017,4,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Spain-France-United States,2018,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Spain-Ireland-United States,2016,6,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-France-Lebanon-United States,2017,4,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-United Kingdom,2019,5,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-United Kingdom,2020,14,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-United Kingdom-Ireland,2006,2,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-United Kingdom-Mauritania-Tunisia,2020,4,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Hungary,2016,11,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-India,2017,8,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-India,2022,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-India-Morocco-Palestinian Territories,2019,2,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-India-Pakistan-Saudi Arabia,2022,6,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Iraq,2021,10,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Iraq,2022,8,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Jordan,1989,4,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Jordan,2020,7,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Jordan,2021,3,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Pakistan,2017,4,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Pakistan,2019,3,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Pakistan,2020,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Qatar,1992,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Qatar-United States,1994,7,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-Thailand-United States,2007,8,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-United States,2003,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-United States,2019,1,absolute_counting_colabs_metalOrganic,ARE
United Arab Emirates-United States,2020,1,absolute_counting_colabs_metalOrganic,ARE
Afghanistan-Germany,2011,2,absolute_counting_colabs_metalOrganic,AFG
Albania-Italy,2000,7,absolute_counting_colabs_metalOrganic,ALB
Albania-Italy,2016,4,absolute_counting_colabs_metalOrganic,ALB
Armenia,1984,7,absolute_counting_colabs_metalOrganic,ARM
Armenia,1993,2,absolute_counting_colabs_metalOrganic,ARM
Armenia,1997,6,absolute_counting_colabs_metalOrganic,ARM
Armenia,1998,3,absolute_counting_colabs_metalOrganic,ARM
Armenia,1999,26,absolute_counting_colabs_metalOrganic,ARM
Armenia,2000,2,absolute_counting_colabs_metalOrganic,ARM
Armenia,2001,13,absolute_counting_colabs_metalOrganic,ARM
Armenia,2002,13,absolute_counting_colabs_metalOrganic,ARM
Armenia,2003,4,absolute_counting_colabs_metalOrganic,ARM
Armenia,2005,3,absolute_counting_colabs_metalOrganic,ARM
Armenia,2006,12,absolute_counting_colabs_metalOrganic,ARM
Armenia,2013,2,absolute_counting_colabs_metalOrganic,ARM
Armenia,2014,5,absolute_counting_colabs_metalOrganic,ARM
Armenia,2016,3,absolute_counting_colabs_metalOrganic,ARM
Armenia,2017,8,absolute_counting_colabs_metalOrganic,ARM
Armenia,2018,5,absolute_counting_colabs_metalOrganic,ARM
Armenia,2019,4,absolute_counting_colabs_metalOrganic,ARM
Armenia,2020,30,absolute_counting_colabs_metalOrganic,ARM
Armenia,2021,17,absolute_counting_colabs_metalOrganic,ARM
Armenia,2022,1,absolute_counting_colabs_metalOrganic,ARM
Armenia-Belgium-United States,2012,2,absolute_counting_colabs_metalOrganic,ARM
Armenia-Brazil-Kuwait-Uruguay,2014,5,absolute_counting_colabs_metalOrganic,ARM
Armenia-Switzerland-Russia,2003,2,absolute_counting_colabs_metalOrganic,ARM
Armenia-Czechia-France-United Kingdom-Russia,2001,9,absolute_counting_colabs_metalOrganic,ARM
Armenia-Germany,2012,14,absolute_counting_colabs_metalOrganic,ARM
Armenia-Germany,2013,9,absolute_counting_colabs_metalOrganic,ARM
Armenia-Germany,2015,15,absolute_counting_colabs_metalOrganic,ARM
Armenia-Germany,2018,22,absolute_counting_colabs_metalOrganic,ARM
Armenia-Germany,2021,5,absolute_counting_colabs_metalOrganic,ARM
Armenia-Germany-Kazakhstan,2014,21,absolute_counting_colabs_metalOrganic,ARM
Armenia-United Kingdom,2003,3,absolute_counting_colabs_metalOrganic,ARM
Armenia-United Kingdom-Russia,2000,7,absolute_counting_colabs_metalOrganic,ARM
Armenia-United Kingdom-Russia,2019,3,absolute_counting_colabs_metalOrganic,ARM
Armenia-India,2019,1,absolute_counting_colabs_metalOrganic,ARM
Armenia-Italy-Poland,2020,4,absolute_counting_colabs_metalOrganic,ARM
Armenia-South Korea-Russia-Uzbekistan,2005,5,absolute_counting_colabs_metalOrganic,ARM
Armenia-Netherlands-Russia,2012,17,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,1984,10,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2002,23,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2004,24,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2005,8,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2006,18,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2007,8,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2010,24,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2011,4,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2012,10,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2013,12,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2019,6,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2020,6,absolute_counting_colabs_metalOrganic,ARM
Armenia-Russia,2022,34,absolute_counting_colabs_metalOrganic,ARM
Armenia-United States,2000,2,absolute_counting_colabs_metalOrganic,ARM
Armenia-United States,2003,8,absolute_counting_colabs_metalOrganic,ARM
Armenia-United States,2004,2,absolute_counting_colabs_metalOrganic,ARM
Armenia-United States,2006,10,absolute_counting_colabs_metalOrganic,ARM
Armenia-United States,2008,13,absolute_counting_colabs_metalOrganic,ARM
Armenia-United States,2010,37,absolute_counting_colabs_metalOrganic,ARM
Armenia-United States,2011,1,absolute_counting_colabs_metalOrganic,ARM
