"","Country","Year","Value.x","source.x","iso3c","Value.y","source.y","substance"
"1","China",1996,1.48,"Figure1-a","CHN",1.84,"Figure2-b","Organometallics"
"2","China",1996,1.48,"Figure1-a","CHN",8.57,"Figure2-d","Rare-earths"
"3","China",1997,1.77,"Figure1-a","CHN",2.83,"Figure2-b","Organometallics"
"4","China",1997,1.77,"Figure1-a","CHN",11.05,"Figure2-d","Rare-earths"
"5","China",1998,1.65,"Figure1-a","CHN",2.43,"Figure2-b","Organometallics"
"6","China",1998,1.65,"Figure1-a","CHN",8.65,"Figure2-d","Rare-earths"
"7","China",1999,1.95,"Figure1-a","CHN",2.55,"Figure2-b","Organometallics"
"8","China",1999,1.95,"Figure1-a","CHN",8.71,"Figure2-d","Rare-earths"
"9","China",2000,2.49,"Figure1-a","CHN",3.38,"Figure2-b","Organometallics"
"10","China",2000,2.49,"Figure1-a","CHN",8.73,"Figure2-d","Rare-earths"
"11","China",2001,2.56,"Figure1-a","CHN",3.64,"Figure2-b","Organometallics"
"12","China",2001,2.56,"Figure1-a","CHN",7.53,"Figure2-d","Rare-earths"
"13","China",2002,3.23,"Figure1-a","CHN",3.7,"Figure2-b","Organometallics"
"14","China",2002,3.23,"Figure1-a","CHN",7.76,"Figure2-d","Rare-earths"
"15","China",2003,4.03,"Figure1-a","CHN",5.09,"Figure2-b","Organometallics"
"16","China",2003,4.03,"Figure1-a","CHN",13.18,"Figure2-d","Rare-earths"
"17","China",2004,4.7,"Figure1-a","CHN",5.45,"Figure2-b","Organometallics"
"18","China",2004,4.7,"Figure1-a","CHN",18.25,"Figure2-d","Rare-earths"
"19","China",2005,5.34,"Figure1-a","CHN",5.9,"Figure2-b","Organometallics"
"20","China",2005,5.34,"Figure1-a","CHN",16.97,"Figure2-d","Rare-earths"
"21","China",2006,6.46,"Figure1-a","CHN",7.68,"Figure2-b","Organometallics"
"22","China",2006,6.46,"Figure1-a","CHN",18.63,"Figure2-d","Rare-earths"
"23","China",2007,7.33,"Figure1-a","CHN",8.01,"Figure2-b","Organometallics"
"24","China",2007,7.33,"Figure1-a","CHN",20.81,"Figure2-d","Rare-earths"
"25","China",2008,8.86,"Figure1-a","CHN",7.99,"Figure2-b","Organometallics"
"26","China",2008,8.86,"Figure1-a","CHN",19.84,"Figure2-d","Rare-earths"
"27","China",2009,10.42,"Figure1-a","CHN",8.36,"Figure2-b","Organometallics"
"28","China",2009,10.42,"Figure1-a","CHN",24.84,"Figure2-d","Rare-earths"
"29","China",2010,12.54,"Figure1-a","CHN",8.93,"Figure2-b","Organometallics"
"30","China",2010,12.54,"Figure1-a","CHN",26.25,"Figure2-d","Rare-earths"
"31","China",2011,14.55,"Figure1-a","CHN",10.63,"Figure2-b","Organometallics"
"32","China",2011,14.55,"Figure1-a","CHN",28.04,"Figure2-d","Rare-earths"
"33","China",2012,16.78,"Figure1-a","CHN",10.24,"Figure2-b","Organometallics"
"34","China",2012,16.78,"Figure1-a","CHN",32.49,"Figure2-d","Rare-earths"
"35","China",2013,19.52,"Figure1-a","CHN",11.5,"Figure2-b","Organometallics"
"36","China",2013,19.52,"Figure1-a","CHN",35.88,"Figure2-d","Rare-earths"
"37","China",2014,22.23,"Figure1-a","CHN",12.44,"Figure2-b","Organometallics"
"38","China",2014,22.23,"Figure1-a","CHN",37.94,"Figure2-d","Rare-earths"
"39","China",2015,23.82,"Figure1-a","CHN",13.39,"Figure2-b","Organometallics"
"40","China",2015,23.82,"Figure1-a","CHN",41.13,"Figure2-d","Rare-earths"
"41","China",2016,25.77,"Figure1-a","CHN",14.16,"Figure2-b","Organometallics"
"42","China",2016,25.77,"Figure1-a","CHN",38.79,"Figure2-d","Rare-earths"
"43","China",2017,27.29,"Figure1-a","CHN",14.22,"Figure2-b","Organometallics"
"44","China",2017,27.29,"Figure1-a","CHN",37.76,"Figure2-d","Rare-earths"
