Country,Year,Value,source,iso3c
China,1996,0.56,FigureS-2,CHN
China,1997,0.64,FigureS-2,CHN
China,1998,0.65,FigureS-2,CHN
China,1999,0.75,FigureS-2,CHN
China,2000,0.89,FigureS-2,CHN
China,2001,0.94,FigureS-2,CHN
China,2002,1.06,FigureS-2,CHN
China,2003,1.12,FigureS-2,CHN
China,2004,1.21,FigureS-2,CHN
China,2005,1.31,FigureS-2,CHN
China,2006,1.37,FigureS-2,CHN
China,2007,1.37,FigureS-2,CHN
China,2008,1.45,FigureS-2,CHN
China,2009,1.66,FigureS-2,CHN
China,2010,1.71,FigureS-2,CHN
China,2011,1.78,FigureS-2,CHN
China,2012,1.91,FigureS-2,CHN
China,2013,2,FigureS-2,CHN
China,2014,2.02,FigureS-2,CHN
China,2015,2.06,FigureS-2,CHN
China,2016,2.1,FigureS-2,CHN
China,2017,2.12,FigureS-2,CHN
China,2018,2.14,FigureS-2,CHN
China,2019,2.24,FigureS-2,CHN
China,2020,2.41,FigureS-2,CHN
China,2021,2.43,FigureS-2,CHN
US,1996,2.45,FigureS-2,USA
US,1997,2.48,FigureS-2,USA
US,1998,2.5,FigureS-2,USA
US,1999,2.54,FigureS-2,USA
US,2000,2.62,FigureS-2,USA
US,2001,2.64,FigureS-2,USA
US,2002,2.55,FigureS-2,USA
US,2003,2.55,FigureS-2,USA
US,2004,2.49,FigureS-2,USA
US,2005,2.5,FigureS-2,USA
US,2006,2.55,FigureS-2,USA
US,2007,2.62,FigureS-2,USA
US,2008,2.74,FigureS-2,USA
US,2009,2.79,FigureS-2,USA
US,2010,2.71,FigureS-2,USA
US,2011,2.74,FigureS-2,USA
US,2012,2.67,FigureS-2,USA
US,2013,2.7,FigureS-2,USA
US,2014,2.72,FigureS-2,USA
US,2015,2.79,FigureS-2,USA
US,2016,2.85,FigureS-2,USA
US,2017,2.9,FigureS-2,USA
US,2018,3.01,FigureS-2,USA
US,2019,3.17,FigureS-2,USA
US,2020,3.47,FigureS-2,USA
US,2021,3.46,FigureS-2,USA
China,1996,21.43,FigureS-3,CHN
China,1997,20.6,FigureS-3,CHN
China,1998,20.66,FigureS-3,CHN
China,1999,21.86,FigureS-3,CHN
China,2000,22.99,FigureS-3,CHN
China,2001,24.57,FigureS-3,CHN
China,2002,25.92,FigureS-3,CHN
China,2003,26.8,FigureS-3,CHN
China,2004,26.39,FigureS-3,CHN
China,2005,26.31,FigureS-3,CHN
China,2006,25.57,FigureS-3,CHN
China,2007,29.16,FigureS-3,CHN
China,2008,27.16,FigureS-3,CHN
China,2009,34.57,FigureS-3,CHN
China,2010,33.92,FigureS-3,CHN
China,2011,33.77,FigureS-3,CHN
China,2012,34.39,FigureS-3,CHN
China,2013,37.04,FigureS-3,CHN
China,2014,39.97,FigureS-3,CHN
China,2015,41.49,FigureS-3,CHN
China,2016,50.7,FigureS-3,CHN
